pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
25	86	88	2001	9808374	 —	said. INDIANAPOLIS	2382aea04d9ce261503da91e52bae43e04ac4e730cd5c2eb34ec36e1671c5645	128	0	0	
26	88	90	473	16974408	 H	id. INDIANAPOLIS —	23426fa81c3ca261711de90e903ae02b44264e731454826b44e417e7520052c1	125	1	0	
27	90	93	731	6698545	ake	. INDIANAPOLIS — H	03436fe82f14aa45601de95615bae08a04224e731c50dc6b95ed37e336101242	131	0	0	
28	93	95	336	16936658	em	NDIANAPOLIS — Hake	23492fe12f34aa4150af69d69d0fe0ba02206f395874e42b95fc0723173c114a	140	0	0	
29	95	102	38325	7691819	 Butler	IANAPOLIS — Hakeem	27097deb2d34ba57308ee9f69d0fe0bb84206b397030e463e42f87121528801e	126	1	0	
30	102	106	706	7620668	 has	IS — Hakeem Butler	066e8d79a1f5fa4fb646a8d4b44d97320111ebb95058c55fb434d513f7bd1a16	114	1	0	
31	106	111	1027	6697004	 been	 Hakeem Butler has	1a3a8d594a35bb48b7463892b459b31351b338b132594355b4655d1a63b98606	128	1	0	
32	111	122	23712	7559770	 surrounded	em Butler has been	1baa844846b59a6a06927a50b449ba101357bcb3b56c505580445c5d60b80222	131	0	0	
33	122	125	555	16939739	 by	as been surrounded	f944988508293afb5adcc87f5521f2118f812492329e6c1fcd461a6dc4424520	136	0	0	
34	125	126	220	16974592	 	been surrounded by	b98698cc092d3ebd5b4cc977552076b32fb16692129aa01ded44966ffe4b4560	128	1	0	
35	126	128	717	16921443	12	een surrounded by 	b98698cc092d3ebd5b4cc977552076b32fb16692129aa01ded44966ffe4b4560	124	1	0	
36	128	129	13	16974382	.	n surrounded by 12	fd0ed0cc0924362d594aca55270072930b807e91929a8219694a1e6ffe2105c0	123	1	0	
37	129	131	362	16974401	 A	 surrounded by 12.	550ed0cc29253a654946c85527285ad20b907f9092380219754e3a6efe6341c9	126	1	0	
38	131	132	220	16974592	 	urrounded by 12. A	548ff0c849003a2509464a5513005bd30a904fb113381019744a3b62ee6305ca	125	1	0	
39	132	135	679	3248787	201	rrounded by 12. A 	548ff0c849003a2509464a5513005bd30a904fb113381019744a3b62ee6305ca	120	1	0	
40	135	136	22	16974391	7	unded by 12. A 201	219ee2c823c435610362004412e6d2f24a900bbc9b3b151b504a3866686940d2	120	1	0	
41	136	141	34260	4310482	 NCAA	nded by 12. A 2017	709ee2c823c47527036a42440052d3fa4a90c99d9d2b174b504b3866686000d2	127	1	0	
42	141	150	14829	7820835	 Division	by 12. A 2017 NCAA	681b406803d26d612225044401c6d7f86a0088b5084f4347c0c33a246ece5f93	119	1	0	
43	150	154	14767	4840411	 III	2017 NCAA Division	f88a5f24a31e501575448b6d472236fca9255e234ae653ac78912ad6fac13f36	120	1	0	
44	154	163	21424	7360036	 Football	 NCAA Division III	388b5fc5e09c500675440b2c463007d429e1fb036042522f30916a52f8003173	115	1	0	
45	163	176	19134	6433548	 Championship	ision III Football	dac66dddf9cc88a2756660e774240f924167ffaf298bfccf9430ce5a145a511d	137	0	0	
46	176	188	25923	7554627	 participant	tball Championship	4ea6587ee5ade6c397c42f96560645f004fa0aca122a9d546ca949ca48825a08	128	1	0	
47	188	189	11	16974380	,	onship participant	a0c1130cc7d29778eea8a0f7080cc9ba08cadb8d0e387320180f4a625dec230a	116	1	0	
48	189	193	279	6697793	 the	nship participant,	b281030047d29758cea980cf280dd9b880ead3850f0852281a0f4e220de4230b	125	1	0	
49	193	194	13	16974382	.	p participant, the	ba08072a43d29758ec2120120885db9880c291852588c62a140b1e361de023a3	117	1	0	
50	194	197	1952	16936893	 On	 participant, the.	9048852643d2d75ece212002a8a5d89880e299850588662a940b1c361de00328	122	1	0	
51	197	201	279	6697793	 the	rticipant, the. On	9a888520d382b75ece40100290a5d8b0c6c2958101cac6285c0b00361de02320	122	1	0	
52	201	207	2115	6698036	 field	ipant, the. On the	fe0acf2453379b5ede5055129ce5f8b85e6aacc184cba4b8fe8a0cb69fe0a921	121	1	0	
53	207	208	11	16974380	,	 the. On the field	5f2bb3c45b06c95e5e95d572dc4cb26d7e18af995e4760e0fde642e2b2b0b021	121	1	0	
54	208	215	38325	7691819	 Butler	the. On the field,	7a0a82864b26c9465e91d532dc0c92c17c18a699060710e8f5c240e3b2a0a221	130	0	0	
55	215	218	374	16938204	 is	 the field, Butler	38ba1ac8f35769005d17c6137c42934333108539f349044da7e748edb6307202	136	0	0	
56	218	224	3967	7359816	 known	e field, Butler is	12ba1ac8c757ee449717d6b37c4897631b02c539e2784c2de7f348cde6704a22	123	1	0	
57	224	228	369	7558215	 for	d, Butler is known	33ba8e2ac3d5b44c830ce4d3a4c0904210c2bdb5f9597d308476c1cc02314b12	112	1	0	
58	228	232	813	7622724	 his	utler is known for	114fae0b68c5b4e8a34dec9780c0959008e8f7b5b95179308db6c4ac42210b76	123	1	0	
59	232	244	93174	6899005	 athleticism	r is known for his	335ba82a30dd188aa94cec83819095544068f435b978fd404d1684a4d2610816	125	1	0	
60	244	245	11	16974380	,	or his athleticism	843a001d999c4da01021e930803dc0156df9ec1ef521fd5a1c20348aaa300a01	125	1	0	
61	245	250	2547	6633525	 body	r his athleticism,	cc390e1d898c4f241121e933841dc2154db9ec1ef7a1f15a1c60b4caa8b00a09	137	0	0	
62	250	258	2585	7294016	 control	 athleticism, body	ac257c1dd9bd5f3b1079e861c43ac3095ef9cc1a59a131d43c851212a030003a	113	1	0	
63	258	259	11	16974380	,	cism, body control	a7a3ac74d161dd38087ae2a5ac3219d25a48d41a4b3b2ba23b0d9240f0183cd1	124	1	0	
64	259	263	323	6633267	 and	ism, body control,	87a3ac75d161fd381a7aeaa5ec3219c85a48d40acb2b23023b0d9064e01c2cd5	115	1	0	
65	263	264	13	16974382	.	 body control, and	07b3a4755175841828788aa52c120dc8164b940a832b6b427a0db064602fac81	117	1	0	
66	264	266	362	16974401	 A	body control, and.	87bba4759161969822f08aa5acb21d40124a941a892b6b4a7a1db022680dbc81	106	1	0	
67	266	273	4846	7558215	 former	dy control, and. A	9fb3a57511758e08226a8b252cb01c44134e8418db8be2623a95bc2244293c41	118	1	0	
68	273	282	14829	7820835	 Division	rol, and. A former	be53e545b164044aa7ce085f08c207409746541b56a1ea33c2df9cff42ad1461	125	1	0	
69	282	284	358	16974409	 I	 A former Division	fe848fa18016d6dcd1510946cc40416041e5701f7467d92ad0932b1922d50473	122	1	0	
70	284	295	19794	7620662	 basketball	 former Division I	6c801dc1809ed68c91400944f461436401e1781f6053db28d5936b1a30d52673	121	1	0	
71	295	302	2851	6434621	 player	ision I basketball	51d8f80b81ac22b925e621e1c148333003ef6b18e88191fb0759469a04208314	143	0	0	
72	302	305	520	16938453	 at	 basketball player	4488e80af18e05254dc4ea49800cb36837c52208cc52d9d59459451b08219004	120	1	0	
73	305	312	19313	6700326	 Oregon	sketball player at	c088ac0af5ae252445c4666fc024b73865cd4a08ccf2d9d78481479202009344	125	1	0	
74	312	318	3314	6436648	 State	l player at Oregon	a45d9cf2be8b611482906e0be864b20e2ce8ae62de5269b9052d40b4c5aa934c	128	1	0	
75	318	322	323	6633267	 and	er at Oregon State	ad4c9cd61a4b4d848895ea01cc4ebc400eac28224a12e1d0051e1ea5e5cb824c	126	1	0	
76	322	324	264	16974433	 a	t Oregon State and	bb5eacd60a184d542e9568035e2f3e400ea80800280061d005da3a6524c1c00c	111	1	0	
77	324	333	72560	6436680	 standout	Oregon State and a	9f4efcdc62014d50aa814803568d28401aa400002008a150449a1e6404c5800c	115	1	0	
78	333	339	3839	6436167	 track	ate and a standout	0522fc9e20010f52b78822511c8d2a1612ec516fb8ad81f5ee9744523207cd0e	126	1	0	
79	339	347	34880	6899005	 athlete	d a standout track	a422dd9a3bb1229ab790d6437c70b754f13ed152b8b884e3a6b44d176207bd4e	129	0	0	
80	347	348	11	16974380	,	dout track athlete	8009c51159a476f85513d5835899c75dc2fdc40069b017452fa0530e41414713	120	1	0	
81	348	355	38325	7691819	 Butler	out track athlete,	0149811159a436f054135d837c89c60dc279c40049b037456fa213062141471b	133	0	0	
82	355	359	706	7620668	 has	ck athlete, Butler	2368908841a55c4414138f8194c1c20e12d0a520d9346d456ef39ecee4300917	129	0	0	
83	359	360	13	16974382	.	thlete, Butler has	22ea8cc846bf1c4004020f13b4c9300a13d02d819d355755e2c95cdea6788b07	121	1	0	
84	360	362	473	16974408	 H	hlete, Butler has.	2aea8cc842bf9c4004020f33a0e9b00a1790ad819d1d5655e3c1dcde26780907	115	1	0	
85	362	365	731	6698545	ake	ete, Butler has. H	3bea8cd842ffa8480406275390e93a8213b0bc87b95d4654cae1e04e26f88926	129	0	0	
86	365	367	336	16936658	em	, Butler has. Hake	3aaa0ce94b77af40070367d33489989211b298d17a1d00548461485866798d21	134	0	0	
87	367	374	38325	7691819	 Butler	Butler has. Hakeem	1bbe2d4969ffba6aa6022feb9499aa9250a218b37015425496656c1827698500	122	1	0	
88	374	375	11	16974380	,	has. Hakeem Butler	1a7e954d6b75fa2ab646b886b4498715c122deb17209e015b4677c1a7439ae0c	104	1	0	
89	375	378	25321	16929705	 WR	as. Hakeem Butler,	1e2ed5c96bb5f268b746b886940b9731c1b2dab1722de355b4655c1b743da60c	128	0	0	
90	378	379	11	16974380	,	 Hakeem Butler, WR	0e2a9dc80a95fb09b70eb810b45fb73341a1e3b1c0484775b4675c1a30b1121f	119	1	0	
91	379	384	21357	7888431	 Iowa	Hakeem Butler, WR,	16029dd80095fb09b70fac50b45eb33343b1fbb1c2484555b5475c0e31b13817	119	1	0	
92	384	390	3314	6436648	 State	m Butler, WR, Iowa	0934bcc80291eb601d2f555015de933341b1f131952a64752e3f5cec18f10013	124	1	0	
93	390	391	13	16974382	.	er, WR, Iowa State	09a6b8642838e122c83b5073491e903b5b94f211b13a60618d9d3eef155900a3	117	1	0	
94	391	395	578	6697761	 The	r, WR, Iowa State.	09acb960283869a2c8394463491e902a5b94f011b13a70718b993eef155900a2	124	1	0	
95	395	396	220	16974592	 	R, Iowa State. The	39ac3b200c58f887c9202061cb16b150b888bc55309bb8720b893fef1c150322	139	0	0	
96	396	397	21	16974390	6	, Iowa State. The 	39ac3b200c58f887c9202061cb16b150b888bc55309bb8720b893fef1c150322	126	1	0	
97	397	398	12	16974381	-	 Iowa State. The 6	398d3b003838fd074130e001d93495489800bcd5209ab950838d3feb1c1583a2	125	1	0	
98	398	399	20	16974389	5	Iowa State. The 6-	3fe9a3807a78f80f4930a821db3495489802acd52113b810038d3feb74150322	121	1	0	
99	399	400	11	16974380	,	owa State. The 6-5	3fe923816c3a600f6190ac61fb94b5489822acc52013b811021d3ec075118306	128	1	0	
100	400	401	220	16974592	 	wa State. The 6-5,	1b68a3a1641a68cfa091ac21b994fc489822acc52111b010021d2e8764918317	136	0	0	
101	401	404	11057	3513497	225	a State. The 6-5, 	1b68a3a1641a68cfa091ac21b994fc489822acc52111b010021d2e8764918317	117	1	0	
102	404	410	48730	7360268	-pound	tate. The 6-5, 225	bb2923812652685e0194b4a936f5d14b9821f4d5209ee084800d0f8024991147	120	1	0	
103	410	415	7029	6632004	 wide	The 6-5, 225-pound	35a9228b2694c08e8411bc0e52c75149592870954566e084281fe79a84b39067	122	1	0	
104	415	424	14291	6564922	 receiver	-5, 225-pound wide	74a821ec2ad4d284ac00be4a55c6b15dd90030b000e2f184c12bebc84097424e	124	1	0	
105	424	427	374	16938204	 is	ound wide receiver	98e002c66ae5dec4a9c81b778937bad5859031615820ec1cf50372d0825b57db	118	1	0	
106	427	429	264	16974433	 a	d wide receiver is	90c006c60aa54a20e1cdba63883592f5c78010626820cc1cb50178058a53c75b	109	1	0	
107	429	436	10195	7291462	 senior	wide receiver is a	90c0062e2a85cee883cdb2638b3392958780b0476805cc14b5173094c753d54a	123	1	0	
108	436	439	520	16938453	 at	ceiver is a senior	10c8477fa88d4ea103cca9f7d17ea5a1858fc047383bca58ad653114c773d455	115	1	0	
109	439	444	21357	7888431	 Iowa	ver is a senior at	02c1577b880c7ee7c7ccadfbf45eb5a925aff047387acaf0af455334e56b9c55	119	1	0	
110	444	450	3314	6436648	 State	s a senior at Iowa	188119fa910c6f07a55ce7c2b43e15a834a560067a6aa8c5a54d53364c59c471	127	1	0	
111	450	451	13	16974382	.	nior at Iowa State	1f871954b928ed2fc169c263081e14cc1e2436267a10b961018d1662045980a0	118	1	0	
112	451	453	362	16974401	 A	ior at Iowa State.	1da71950b928fd26c169e063093e05c81a2426a67a18b9d1818d363a1c5980a0	127	1	0	
113	453	460	4846	7558215	 former	r at Iowa State. A	1d8b39549928e986a169e2630d3a05c21004ae876210b8d1018936aa0c5100a2	127	1	0	
114	460	466	3839	6436167	 track	wa State. A former	3f28a944b80c289ca12b80539918c146d385a4c96221f811838d2eaf61554c66	113	1	0	
115	466	471	6917	6436680	 star	te. A former track	be00dc22baa4041cb75a1856d894c3425b8d745bf606e913c74fa8a5e97a5d2b	143	0	0	
116	471	472	11	16974380	,	 former track star	78b048a0ff8c825db1521344c884c352d38dd012b6cacd11857fa928e83a37d0	125	1	0	
117	472	479	38325	7691819	 Butler	former track star,	783148a09e84833db15251d6d884c350939dd012b6cbcdf1856f8928f03b35d0	127	1	0	
118	479	483	706	7620668	 has	track star, Butler	12b508a8b25467589106d3d19404931297b7c59293480d15a0b5d95c32b1bf52	125	1	0	
119	483	489	15107	6436151	 drawn	k star, Butler has	12a3082082578f4895044753b488ba1015d78d93b3494575a0a5c85822b9af52	112	1	0	
120	489	490	13	16974382	.	, Butler has drawn	3aaa0e28e2d7dc6cad80635394f1fa8a14f7b8919d490074a6cfc8cc2af98823	114	1	0	
121	490	492	473	16974408	 H	 Butler has drawn.	1ba2ae6822378c68ad80627314f19a8a14d7f8918d490074a6c7d0cc0a790c23	125	1	0	
122	492	495	731	6698545	ake	utler has drawn. H	39e3a628681799286d8462439cebba8a34d7d8918dc10070b64ec0cc2e780f22	125	1	0	
123	495	497	336	16936658	em	er has drawn. Hake	3963ef642817982869e002011cb3fa8f3487da918dcd00b494ccb2cd2e6c8825	135	0	0	
124	497	504	38325	7691819	 Butler	 has drawn. Hakeem	3921332ca817d838f9108a019c73a29fb407dab3888928f5b4ceb3cc6c6d8c26	145	0	0	
125	504	505	11	16974380	,	awn. Hakeem Butler	3a7eb15c6a35fa003746a880b457b717d4a3fab14008415db044fd1967298a04	125	1	0	
126	505	508	25321	16929705	 WR	wn. Hakeem Butler,	3a6a8158e895fa00b74e8884b45bb715d5a3fab0c028415fb464fd196f2d820c	127	1	0	
127	508	509	11	16974380	,	 Hakeem Butler, WR	0e2a9dc80a95fb09b70eb810b45fb73341a1e3b1c0484775b4675c1a30b1121f	119	1	0	
128	509	514	21357	7888431	 Iowa	Hakeem Butler, WR,	16029dd80095fb09b70fac50b45eb33343b1fbb1c2484555b5475c0e31b13817	119	1	0	
129	514	520	3314	6436648	 State	m Butler, WR, Iowa	0934bcc80291eb601d2f555015de933341b1f131952a64752e3f5cec18f10013	124	1	0	
130	520	521	13	16974382	.	er, WR, Iowa State	09a6b8642838e122c83b5073491e903b5b94f211b13a60618d9d3eef155900a3	117	1	0	
131	521	525	578	6697761	 The	r, WR, Iowa State.	09acb960283869a2c8394463491e902a5b94f011b13a70718b993eef155900a2	124	1	0	
132	525	526	220	16974592	 	R, Iowa State. The	39ac3b200c58f887c9202061cb16b150b888bc55309bb8720b893fef1c150322	139	0	0	
133	526	527	21	16974390	6	, Iowa State. The 	39ac3b200c58f887c9202061cb16b150b888bc55309bb8720b893fef1c150322	126	1	0	
134	527	528	12	16974381	-	 Iowa State. The 6	398d3b003838fd074130e001d93495489800bcd5209ab950838d3feb1c1583a2	125	1	0	
135	528	529	20	16974389	5	Iowa State. The 6-	3fe9a3807a78f80f4930a821db3495489802acd52113b810038d3feb74150322	121	1	0	
136	529	530	11	16974380	,	owa State. The 6-5	3fe923816c3a600f6190ac61fb94b5489822acc52013b811021d3ec075118306	128	1	0	
137	530	531	220	16974592	 	wa State. The 6-5,	1b68a3a1641a68cfa091ac21b994fc489822acc52111b010021d2e8764918317	136	0	0	
138	531	534	11057	3513497	225	a State. The 6-5, 	1b68a3a1641a68cfa091ac21b994fc489822acc52111b010021d2e8764918317	117	1	0	
139	534	540	48730	7360268	-pound	tate. The 6-5, 225	bb2923812652685e0194b4a936f5d14b9821f4d5209ee084800d0f8024991147	120	1	0	
140	540	545	7029	6632004	 wide	The 6-5, 225-pound	35a9228b2694c08e8411bc0e52c75149592870954566e084281fe79a84b39067	122	1	0	
141	545	554	14291	6564922	 receiver	-5, 225-pound wide	74a821ec2ad4d284ac00be4a55c6b15dd90030b000e2f184c12bebc84097424e	124	1	0	
142	554	557	374	16938204	 is	ound wide receiver	98e002c66ae5dec4a9c81b778937bad5859031615820ec1cf50372d0825b57db	118	1	0	
143	557	559	264	16974433	 a	d wide receiver is	90c006c60aa54a20e1cdba63883592f5c78010626820cc1cb50178058a53c75b	109	1	0	
144	559	566	10195	7291462	 senior	wide receiver is a	90c0062e2a85cee883cdb2638b3392958780b0476805cc14b5173094c753d54a	123	1	0	
145	566	569	520	16938453	 at	ceiver is a senior	10c8477fa88d4ea103cca9f7d17ea5a1858fc047383bca58ad653114c773d455	115	1	0	
146	569	574	21357	7888431	 Iowa	ver is a senior at	02c1577b880c7ee7c7ccadfbf45eb5a925aff047387acaf0af455334e56b9c55	119	1	0	
147	574	580	3314	6436648	 State	s a senior at Iowa	188119fa910c6f07a55ce7c2b43e15a834a560067a6aa8c5a54d53364c59c471	127	1	0	
148	580	581	13	16974382	.	nior at Iowa State	1f871954b928ed2fc169c263081e14cc1e2436267a10b961018d1662045980a0	118	1	0	
149	581	583	362	16974401	 A	ior at Iowa State.	1da71950b928fd26c169e063093e05c81a2426a67a18b9d1818d363a1c5980a0	127	1	0	
150	583	590	4846	7558215	 former	r at Iowa State. A	1d8b39549928e986a169e2630d3a05c21004ae876210b8d1018936aa0c5100a2	127	1	0	
151	590	596	3839	6436167	 track	wa State. A former	3f28a944b80c289ca12b80539918c146d385a4c96221f811838d2eaf61554c66	113	1	0	
152	596	601	6917	6436680	 star	te. A former track	be00dc22baa4041cb75a1856d894c3425b8d745bf606e913c74fa8a5e97a5d2b	143	0	0	
153	601	602	11	16974380	,	 former track star	78b048a0ff8c825db1521344c884c352d38dd012b6cacd11857fa928e83a37d0	125	1	0	
154	602	609	38325	7691819	 Butler	former track star,	783148a09e84833db15251d6d884c350939dd012b6cbcdf1856f8928f03b35d0	127	1	0	
155	609	613	706	7620668	 has	track star, Butler	12b508a8b25467589106d3d19404931297b7c59293480d15a0b5d95c32b1bf52	125	1	0	
156	613	619	15107	6436151	 drawn	k star, Butler has	12a3082082578f4895044753b488ba1015d78d93b3494575a0a5c85822b9af52	112	1	0	
157	619	620	13	16974382	.	, Butler has drawn	3aaa0e28e2d7dc6cad80635394f1fa8a14f7b8919d490074a6cfc8cc2af98823	114	1	0	
158	620	627	38325	7691819	 Butler	 Butler has drawn.	1ba2ae6822378c68ad80627314f19a8a14d7f8918d490074a6c7d0cc0a790c23	131	0	0	
159	627	628	11	16974380	,	 has drawn. Butler	bab106ac2a97f9087ba4425110f3a38e34d7deb19dc92057a69edacc7ef80b22	125	1	0	
160	628	631	25321	16929705	 WR	has drawn. Butler,	bef406ac2a97f8087ba4425510f3a38a369ddab19d892057369edacc3ef909a6	114	1	0	
161	631	632	11	16974380	,	 drawn. Butler, WR	3cf414a80ab5f908bfae061014f2a39220b1fbb19d4804721f3fdecc1eb1188d	116	1	0	
162	632	637	21357	7888431	 Iowa	drawn. Butler, WR,	33f0dca84897f90097ae0e5010f6a39202b1cfb19d4824719cbfdecc1ab11887	129	0	0	
