pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
16	55	62	34342	7622686	 Bishop	Vergilius was made	4601c34aac2ad900b2bdd31ad91d68d057a00ac45b32d8893b98e4dfa906da2c	123	1	0	
17	62	65	315	16934869	 of	us was made Bishop	2761a34f98b461029218ea52530570d1b61038440b62ca09b28572d6e1033aa6	128	1	0	
18	65	69	8375	7158304	 Sal	was made Bishop of	8628a34f108861409218ef5053277001f6102ac56b604109b2a55352ed012aec	123	1	0	
19	69	74	79302	7753041	zburg	made Bishop of Sal	c5e8a36354806b081018ef9c07071741f310b0452f21c30ba2a1d216fd0d2a6c	115	1	0	
20	74	76	320	16974376	 (	Bishop of Salzburg	44482361474ceeb12118ed9c87263741c9a58067234aa08e87f0820ad94faa6a	130	0	0	
21	76	79	25358	3580579	766	shop of Salzburg (	40c82360474ceeb3b110e5bc8f26370bc9a5806742daa94f87d1828ae9072aea	123	1	0	
22	79	82	477	16937953	 or	p of Salzburg (766	68a120e0d75ceeabe131e0bcbf263717c93cc16f0b52a9ada7d1948ec9430ee2	116	1	0	
23	82	83	220	16974592	 	f Salzburg (766 or	30e12060d75eee23e139e0b9ff6633058b3c83470893698dcfd1978ec05705e7	134	0	0	
24	83	86	23275	3646628	767	 Salzburg (766 or 	30e12060d75eee23e139e0b9ff6633058b3c83470893698dcfd1978ec05705e7	126	1	0	
25	86	87	8	16974377	)	lzburg (766 or 767	34f80676d35ee262cd3849617d20373706b8d3512956a9098e9917c7c0551546	134	0	0	
26	87	91	323	6633267	 and	zburg (766 or 767)	34d94676d55eeae2cf3acd097d60323704b0d151285629498e98139fc01115e0	133	0	0	
27	91	95	10278	6497839	 lab	g (766 or 767) and	b55d5336909440748d8acb485d683037a522d37020e609698a4a33dcfc370544	124	1	0	
28	95	100	21020	7559766	oured	66 or 767) and lab	a558d3de841410ee1ac249415c49201dcc022b6828440968ce66221638351408	124	1	0	
29	100	113	7946	6569035	 successfully	 767) and laboured	e40cf39c1da200ccc0e94953058939088b83e3b8284d0baa406892163822621e	131	0	0	
30	113	117	369	7558215	 for	oured successfully	d4952f1c5f508ad79076564887393446b8fbcbc408e207c6a801cfa617d1851b	152	0	0	
31	117	121	279	6697793	 the	d successfully for	76cdbd08dd508c1f8a7636e60915667bd8b0d18c1bc20784b311a4be3bd1865d	119	1	0	
32	121	122	220	16974592	 	ccessfully for the	324dfd68e2c0281e8e7678ec2971ea8acce0c90713ea47c4b991ecfecd51c61d	120	1	0	
33	122	123	15	16974384	0	cessfully for the 	324dfd68e2c0281e8e7678ec2971ea8acce0c90713ea47c4b991ecfecd51c61d	116	1	0	
34	123	124	69	16974438	f	essfully for the 0	020dfdeca340280e8ad278cc0934ea4bc8e0edb613aa4742b111e4fef9499615	126	1	0	
35	124	128	279	6697793	 the	ssfully for the 0f	920dfdecb0c0380ecb5278cc0d30e24ec8e0e5b613ea47c2e11164fef1499615	125	1	0	
36	128	135	9441	7754528	 Church	lly for the 0f the	602be9c8a3453810cf737df865d1d98bcee2e5be5bea464299d066bf790d5e35	133	0	0	
37	135	138	304	16936919	 in	 the 0f the Church	4e985181115539b8c2500f6e69b859023adbe3bdf758c617c9529e2f11c8b0b5	119	1	0	
38	138	142	813	7622724	 his	e 0f the Church in	5c385081115631bae6100f6a68b809033a8be1b1f658821edc4098ac11d09055	121	1	0	
39	142	146	3580	6696989	 See	 the Church in his	4e3a50a191d62132fe502a7ac998c9992a8b6ab1d3580684dc02902011e08c15	119	1	0	
40	146	147	11	16974380	,	 Church in his See	443b119589d67f723e506af88cbb03b9200b5851c25ac4a0d800f1c498688807	113	1	0	
41	147	151	719	7691851	 but	Church in his See,	04bb599589d27e763e504afa8cb9039928135811c25ac5b0d020f5f49c608c17	117	1	0	
42	151	154	568	16934605	 he	ch in his See, but	00bb11119c9e6e461e5842f08e3302f9187b1000ca12dbb8e8a8e5f49e688e07	136	0	0	
43	154	159	8636	6698034	 died	in his See, but he	00ba1713dc8fae021bd402e0863332e4205b94008a12fb18a820edf61e289715	125	1	0	
44	159	163	72619	7358282	 sho	s See, but he died	28fa1d437d8dad021c9843c405f23264317d2080be34ea9aac42dcaf1e8a9653	126	1	0	
45	163	164	55	16974424	X	e, but he died sho	38060b6ff995a402389c628405d0246471192289b7d6789cac624def0e03550b	125	1	0	
46	164	165	83	16974452	t	, but he died shoX	3846894f3d9dac0238936b8425d4266479182089b756689fac62c1a70e03574b	129	0	1	163
47	165	167	398	16939749	ly	 but he died shoXt	b80e0d4f3d87ac023953688685f420657d793089a796289fac62cda72e03176f	115	1	1	163
48	167	178	27905	7687995	 afterwards	ut he died shoXtly	fa660c4f39c6a002b81b605bac94246459393109a9d6289eac7249a70e02556b	123	1	1	163
49	178	180	320	16974376	 (	shoXtly afterwards	da67ac432342e3009b3bc53a20083af0f02d3977a8f418e53b462ab608338c68	128	1	1	163
50	180	183	22148	3448995	784	oXtly afterwards (	4226aec330464260bb7dc73e21485ae0b02c1915a09130e7394fa2260a33dc68	125	1	1	163
51	183	186	477	16937953	 or	ly afterwards (784	426488e6314a626cbb3d873e21085ac4f22f0b3481d132e23d4ec02617339d68	127	1	0	
52	186	187	220	16974592	 	afterwards (784 or	0210e8a6b04ae261337fcd36250858a0f62d83608390b0ea1cae802b16b2f468	129	0	0	
53	187	190	24216	3713191	788	fterwards (784 or 	0210e8a6b04ae261337fcd36250858a0f62d83608390b0ea1cae802b16b2f468	125	1	0	
54	190	192	570	16920407	).	rwards (784 or 788	018069b6904cc27331fa4c16053a4065e71d83112318e3ea91dca5cb1633f66e	125	1	0	
55	192	196	5414	7622692	 His	ards (784 or 788).	018069d6504ce25378fb4804ad2a4145ef1d8305031023ee80d8a58f14b3f65b	126	1	0	
56	196	206	59504	7294016	 contempor	 (784 or 788). His	018868f7d246ea53d8c3ca05853a61676f65f2053050216687c0adb714395655	124	1	0	
57	206	211	5548	6964540	aries	88). His contempor	4322482ffa05cf11c450dc0dec4e407297cff2a38c54a52da052c074bd091644	125	1	0	
58	211	220	27458	6829118	 regarded	His contemporaries	43a26b0e1ac4c25101508c03f0060c7102dad3ac881ed62fbab28244ed19f664	126	1	0	
59	220	224	1461	7226430	 him	mporaries regarded	6da37f0283851c5f1bd02a1390f4cc9828d8571aac1ba68e5b239b20481df01f	137	0	0	
60	224	227	439	16938196	 as	aries regarded him	7d6f3f7a82053c075e810e73dbf6dec82c11561bbc11a98a59009b30406020b7	120	1	0	
61	227	229	264	16974433	 a	es regarded him as	3d6d2ffa823c340f4d851a53d1d1f6c824555ed8ac41a30859249b30405e6017	132	0	0	
62	229	236	28390	7558232	 worthy	 regarded him as a	3d4f2fd2020c152fcd871a53dbd9f79064151e98bc41a2005924bb3070526826	111	1	0	
63	236	246	34665	6569035	 successor	ed him as a worthy	1e6b2dda3572219f6f04da7bd298b7c47c7d2c94ed42a251df6e034463dad07c	119	1	0	
64	246	249	311	16937187	 to	a worthy successor	46f2051a0e7a6f91d387a36b4a947caedcff2951f942ef80fbdb65625bc3875a	135	0	0	
65	249	252	800	16938439	 St	orthy successor to	64f304580ef13e13c183375356d5744d2e7f3b1d5b42af809ad134621b91815a	123	1	0	
66	252	253	13	16974382	.	hy successor to St	64f1c4d70aa36e078143171140d1fc0e1a3d2bf913426a82b29122721b918154	128	0	0	
67	253	257	13789	7293983	 Bon	y successor to St.	64f1c5468ab34e07c1531f5144f5fc0eba3f2b7912426a839a91a6621b918151	131	0	0	
68	257	262	53774	6433072	iface	ccessor to St. Bon	e57580d41aab060531519f068474fa1dcc98bb49d3c26989b3f5267152150814	109	1	0	
69	262	266	323	6633267	 and	or to St. Boniface	a5d110c438ea486623d39e20b578b84f8c14b448d7aa69cb9ea8af1d723c0c94	119	1	0	
70	266	268	264	16974433	 a	o St. Boniface and	a7db30c42ce84023218d9463356bb85f04149468d72243891ee8a915727c2c18	121	1	0	
71	268	277	37513	6960176	 faithful	St. Boniface and a	a7fd10c466a80d72238994e13489304f04148468d62a41487ca88d14d25d0c58	123	1	0	
72	277	285	69606	6700876	 steward	ace and a faithful	3491925f46191f8082011140cc890a2ed283c8f32aa50971e0815844b35c0253	128	1	0	
73	285	288	315	16934869	 of	a faithful steward	f061b35d466a5fa96a62110280099724ccbb5093032008b5f3317a523918105d	120	1	0	
74	288	292	279	6697793	 the	aithful steward of	946db7dc666bdd284f612010000993048c9a5193c12008b0db3958139d0802cc	121	1	0	
75	292	299	9441	7754528	 Church	ful steward of the	d265a6bc7c024c287f602d9208498315cc9a145645200db19b291a131108a6c4	116	1	0	
76	299	302	304	16936919	 in	ward of the Church	4c00d6a875002438df682f6a69d9cb129acb81f4f7182a17cd1298291588a096	115	1	0	
77	302	310	35998	7625769	 Austria	d of the Church in	4c2112a9111224b2ff106f6ae88989023a03c1f5f718821e9c13982911d8b095	117	1	0	
78	310	312	627	16911160	.\n	 Church in Austria	1658053d9cf33502e82022d1888b42990c038b11c61c862cd401b084f9b8ec00	131	0	0	
79	312	314	644	16936887	In	hurch in Austria.\n	1218053d9cd1148afd32e253c08312990c032a11ce1c86bcd401f080d9f1cc08	108	1	0	
80	314	318	279	6697793	 the	rch in Austria.\nIn	115a2d1fb391538ef82e00d3c8c380d94c911a19de44862e54a9b088e4b3cc00	125	1	0	
81	318	326	11104	7621679	 Western	in Austria.\nIn the	1053c59f53c079ce682a32db80d12299c4b51a5ad604460f16b0239884b7a4a8	121	1	0	
82	326	333	9441	7754528	 Church	ia.\nIn the Western	5a1bc1897b4371d050d963db8a910043ae0c6776d65c460f14c4028884d68e29	124	1	0	
83	333	334	11	16974380	,	the Western Church	6f12440d3d43d812d859626041c31c722d4e6f31a45ce68fcd43ba84dcc4a80d	124	1	0	
84	334	338	279	6697793	 the	he Western Church,	6f12448d35e7d812d119628441d31d722d466b33e45ce68fcc059a84cdc42a0d	114	1	0	
85	338	343	4790	6436167	 trad	estern Church, the	6d1ac0a42dc5b812c0506080d17258b738574031f49024cfcc931d0cd8b46802	127	1	0	
86	343	345	275	16938461	it	n Church, the trad	7d9b72a43945b99a42f13880e02072133c43c130d21002c3c611d50c1984e842	127	1	0	
87	345	346	55	16974424	X	Church, the tradit	64bb72802941bfaa10d13c80e020700b3c43c100f210034396914d4c1ac4e843	122	1	0	
88	346	348	263	16936925	on	hurch, the traditX	741bf2822901b7a810f13c806622704f3c41c100f698034396910d0c1af5e003	137	0	1	345
89	348	351	315	16934869	 of	rch, the traditXon	f40bf2020b11b3889ad13d80662662cfba45c100d29c1343bf814c8c5a954262	135	0	1	345
90	351	354	800	16938439	 St	, the traditXon of	641aee020313bba83ed5158066276243326d6310fafc1a039c214e941c9590a2	121	1	1	345
91	354	355	13	16974382	.	he traditXon of St	200bec028013f9a83fd540c466074ac3b23c7312fbec1b01bf200a1c19859402	123	1	1	345
92	355	360	52409	7555629	 Verg	e traditXon of St.	a103cc028013e9a83bd540c426014a43b20c531afbec1b01bfa06a191b848492	117	1	1	345
93	360	363	4008	6963006	ili	ditXon of St. Verg	e1088c3104d3c8983f31555435014ad1e2467dbe99a0be63a6e0283332048c18	127	1	1	345
94	363	365	355	16938216	us	Xon of St. Vergili	c1088d1024f2cc9e2db9d95655014adaf2c27dde3d00be6322202c3a320c8e18	127	1	1	345
95	365	366	11	16974380	,	n of St. Vergilius	c9c985302cb28c3e4cb15b96f10108d8f2c2553e79129ce13fa2ec1bb2048e39	126	1	0	
96	366	373	3582	7358283	 though	 of St. Vergilius,	cdca81782cf08c3c48b05b9e510309d8e2e235be7d123c693f82ec3ab2248e2c	125	1	0	
97	373	377	539	7690321	 not	 Vergilius, though	ee9a9b782430baa2c4254b13b11f9954b3712c27f93254291780ec4ea82cd028	124	1	0	
98	377	380	779	16937186	 so	gilius, though not	da9ad27820127ac6d8610b97d09d91545b737827e53a10693714ec582929d060	127	1	0	
99	380	385	1664	7159368	 well	ius, though not so	d8bad6760618fec7c4702b74805d16d459332805e55a102297918c1e81293461	127	1	0	
100	385	387	597	16974443	 k	though not so well	dcb9d6e26f415e07047833f4025f36dc58be8614350098a627a18e1e40a93c21	120	1	0	
101	387	388	55	16974424	X	ough not so well k	dda1d6c26f411e270078b7f0845bb4da50bec2d4a50598a4b5ab2c1e50a33821	140	0	0	
102	388	391	785	7296084	own	ugh not so well kX	dcb186c22f419e05015cb7b08453f4da50bec656ad0490a075a33c1e58a31c21	137	0	1	387
103	391	394	439	16938196	 as	 not so well kXown	eda1982237451e07027857f4814bdeda95bcd697ec8599a4f58b2e0e00a91c24	115	1	1	387
104	394	399	430	6433597	 that	t so well kXown as	ad01a86a93451605823217d4850bfdfa95bcd6b6ffa49940fc8b1c0a28e99804	129	0	1	387
105	399	402	315	16934869	 of	well kXown as that	e4152a2a10c50f04027616b4820f4f7e98347436e6e68599fc2f090a68ee55c0	128	1	1	387
106	402	405	800	16938439	 St	l kXown as that of	640f2a3ac0d58f1f027302f596175ff6f8623022e6e60ed9dc25014c6c6e55c8	135	0	1	387
107	405	406	13	16974382	.	Xown as that of St	640f2e3bd855899f6a7200b7965d0feaf87770b6e1e206d1d423004c7a2e1708	130	0	1	387
108	406	410	13789	7293983	 Bon	own as that of St.	64050e3bd85989df6a708037875d0beae87770b6c1e60e91942700087b2e0308	136	0	0	
109	410	415	53774	6433072	iface	as that of St. Bon	e0070e3878dd881639e78107a5051a5fe0d2f32cc4a20ed8a524051c73262804	116	1	0	
110	415	416	11	16974380	,	at of St. Boniface	a18304c17ccac8df73f2c066b5293adfc856f42dd5aa07ca26a0201df23c2e24	137	0	0	
111	416	419	374	16938204	 is	t of St. Boniface,	a18381d47eca08f63bf2c40eb509385fc456f42cd5ba238a26aa291df23c2e84	127	1	0	
112	419	423	3686	7687762	 yet	f St. Boniface, is	a28610e47ecf8c7327b6e662350c784e0454f455d2ba03ca3eaa2911f25c38a4	121	1	0	
113	423	428	5762	7159353	 held	. Boniface, is yet	b2c6b1a5fe85ec0367b6eea0210dfc4ec45cfc05923f03c8beaa291ff21e38dc	123	1	0	
114	428	431	304	16936919	 in	iface, is yet held	bace99b5fe8dad02b73ac4228105f2066458f411261f43c06aaa9c3bda9db89e	129	0	0	
115	431	433	1630	16974424	 X	ce, is yet held in	9ade1bb5beccad22f33ccb6282c4db07c498f0552c1746c028ae1c328a9db89a	121	1	0	
116	433	437	1244	6432824	reat	, is yet held in X	9ede0bb59ceda02af37801a288c59b07ccb87445051749c02aae9c3a9a9db89a	129	0	1	432
117	437	444	85597	7691340	 esteem	 yet held in Xreat	b8db4925beec623ef160008291c1cb47acd837c75d1e4d8320a4963892bc98ce	107	1	1	432
118	444	445	13	16974382	.	ld in Xreat esteem	e08f49242f67731f61f45061900f4841aac1677bdc1aa04924618a589898183e	127	1	1	432
119	445	448	1283	16934573	 He	d in Xreat esteem.	743b49242c57724f21e4503d500f48412841476bdc5aa64944619a59d8181936	120	1	1	432
120	448	452	574	7620683	 was	n Xreat esteem. He	ae3c4d2e6f165f1b43f6733dc00f68013ac72723ffc8a6098c23985958110b1e	131	0	1	432
121	452	454	348	16974454	 v	eat esteem. He was	37a36d6e65065753213c31f9f10e40004f814633f348b6098c2599555c211e12	129	0	0	
122	454	462	10766	6699320	enerated	t esteem. He was v	3ba22d4e4582d64361883df3b10e48220e855741e34064018c07955158220e32	130	0	0	
123	462	465	439	16938196	 as	. He was venerated	bb62a30060a3072221aba9d0812dc928cb3456c11ea25e01c85f8c3258c83c74	129	0	0	
124	465	467	264	16974433	 a	e was venerated as	e14ac6006ab30da621a22950838ce8288a3044c09e925a0d88ed0ca250c81770	134	0	0	
125	467	474	90408	7554624	 martyr	was venerated as a	e35ac34128f229a638822190c28dc9089e305dc0de835a1fcce70c2250e817d0	126	1	0	
126	474	477	304	16936919	 in	erated as a martyr	7359c3587ac27c621b867580d2bda3522e38d58284415a1f44680a3f31f21f70	127	1	0	
127	477	482	1063	7227983	 some	ted as a martyr in	63ddc3487a4c6c62199679c0d2a5ab502698db4884a9531704604af671f11650	122	1	0	
128	482	488	5596	7554627	 parts	s a martyr in some	23e0932892896e741c5e314013710b3024b8d97806f9f747044b788e31d55a70	141	0	0	
129	488	489	55	16974424	X	rtyr in some parts	88689af4848307757c7a13501e316e3c60ba5d7912ca346f104ded8a31d15136	132	0	0	
130	489	491	1073	16934869	of	tyr in some partsX	886898e495830f543c781b501c31463844ba5d6512da3066044dedca31d15136	110	1	1	488
131	491	499	10057	7555614	 Germany	r in some partsXof	88681aec97c307543478373008b1e47047ba596552da32ab04c93d0b29d15136	120	1	1	488
132	499	503	323	6633267	 and	e partsXof Germany	a068a60c8b900704386be67491a4c430032ed86556f943a3a4a81d9f2e9c3080	123	1	1	488
133	503	510	9822	6436121	 France	rtsXof Germany and	221ca60c9b0005001849266695c6c4b8233ad84557f34dabe580111f066c38e0	128	0	1	488
134	510	511	11	16974380	,	Germany and France	22b485bd070909820a87326116cea5986819b94e57382d20c1e0137945602660	129	0	0	
135	511	515	323	6633267	 and	ermany and France,	2234a4be0f0d19020a87166314cef598a819fb0e7638ad20c5e011795d686260	129	0	0	
136	515	517	1630	16974424	 X	ny and France, and	32bca4be0f6d9102428f16f38ecff4dca800e10f7f3cb940d5e31375dd787760	118	1	0	
137	517	518	77	16974446	n	 and France, and X	32bd2cbe0f4b9216438f16f304cfb6c8a404e10e673db848d1721151ddf87662	137	0	1	516
138	518	522	279	6697793	 the	and France, and Xn	32bcacbe0f498010438f12f104cfa4c8a00ca10e6f3c3b42d36a1153dc787762	112	1	1	516
139	522	523	220	16974592	 	France, and Xn the	16bfa4fe0c01c000006d177040d31b4a240c8196a8f4010257681251cd7ab660	115	1	1	516
140	523	525	806	16921186	11	rance, and Xn the 	16bfa4fe0c01c000006d177040d31b4a240c8196a8f4010257681251cd7ab660	132	0	1	516
141	525	527	339	16935388	th	nce, and Xn the 11	56bfcede4d43d80408af16f080c91a48652c0184b2f4000a5228801184d2b662	135	0	1	516
142	527	535	9478	7291446	 century	e, and Xn the 11th	542deafe4510d8048aef07e080880b4c6b2c8084b0f4600adf2c9051c4129642	140	0	1	516
143	535	537	30341	16931204	,X	n the 11th century	5442ca93d9065892faf123e6bf0c175c7b6400d0f60ce24ebe08919572820a68	129	0	0	
144	537	539	300	16938196	as	the 11th century,X	c440ca9a985e5812fad723e5bf0e37dcf9641e40740c20168a08909472880869	121	1	1	536
145	539	541	264	16974433	 a	e 11th century,Xas	c442c29298de581ad8d322e57f0c3dddc8449ee0f44cb2149e0880d4d28a0868	135	0	1	536
146	541	548	1121	7621706	 result	11th century,Xas a	c8420a92e8cf583ad8c342c93f0c3fddd8449a60d74db036a80088d4da891849	126	1	1	536
147	548	551	315	16934869	 of	ntury,Xas a result	ed822cd229cb58929c4546bb6caa6d89ba5c115196e4a4128d1202dc73ca1c2e	124	1	1	536
148	551	553	1630	16974424	 X	ry,Xas a result of	7d922492288b40939c244ef86ce26c8aff54a10956658cd2ed5282fc568214ac	119	1	1	536
149	553	555	383	16934605	he	,Xas a result of X	7c92e01a6a0b44929c264cf86cea0c1bf3c6b109de758eb2ec5300c467c2942c	147	0	2	536,552
150	555	560	16431	6700318	 Greg	as a result of Xhe	2493441b2a1b66d2bf2e0cf96cfa0c5bf6c4211950658e76ec5f00a4224234ac	132	0	1	552
151	560	565	22865	6964554	orian	result of Xhe Greg	201160367cba6f0b9f2e19a46af80f43f7a0a003702bccb424d6c02406dba4a0	127	1	1	552
152	565	572	40365	6763037	 Reform	t of Xhe Gregorian	a59740117caa6bab308e91cc28ba0c514727e8527023c5bcb2828e242a7fa900	123	1	1	552
153	572	573	11	16974380	,	e Gregorian Reform	ed35343845a86ac860c6c84828d9ac719727d8de707d1db6b8a28a6023afe150	141	0	0	
154	573	577	813	7622724	 his	 Gregorian Reform,	ed3154b805e86ec862c6885828d1ac719727d8da703d1db5aab28a602baf6150	127	1	0	
155	577	582	4612	7163460	 cult	gorian Reform, his	e9b3578c01e03ae826408619de5da47197235952134d58d19c8e82c527a76555	122	1	0	
156	582	586	574	7620683	 was	n Reform, his cult	a1b7168c81b088603a40ad1c6e584434d716597b73cd10d1b80981c13d854365	142	0	0	
157	586	597	19073	6763323	 officially	form, his cult was	a2f7068980f388755750ad9d72144432f703cb0a374d44c1814d81cd3fc77767	121	1	0	
158	597	608	15324	6564922	 recognized	ult was officially	02933a9a06269ca955e0a4d9340e62238ea00f010cfe2bc18175098801523e18	132	0	0	
159	608	610	293	16974434	 b	icially recognized	a201b88a408c96465c94fc8fbe0a2e0e42daac8347fa30cced4b72913624565b	125	1	0	
160	610	611	55	16974424	X	ially recognized b	a300b98a810c96c644173ce78e382e8ec6cabcab47ea10cf0d4a52111e20d41b	127	1	0	
161	611	615	279	6697793	 the	ally recognized bX	a300b80a810c96c7c51b2ce5ce202e8ee21ab8ee571210cf0d6a72b11e20d45b	138	0	1	610
162	615	619	16071	7161891	 Hol	 recognized bX the	a500296a1406918f0d592dc5ea383e0ab278f8fc15d2129f7e23628c5630d41f	136	0	1	610
163	619	620	55	16974424	X	ognized bX the Hol	f90879ea20278987ac5909c4e8a81a10ba58fcea1a56419fa663428e96301305	138	0	1	610
164	620	624	3580	6696989	 See	gnized bX the HolX	f9b879ea202789876c5909c068a81a10be68fcea1a9241178e22428cd6301301	128	0	2	610,619
165	624	625	13	16974382	.	ed bX the HolX See	fd3c5dc27a37a9836c4911a0c88c9a449c78f90a18924116be0147c2d6bc72a1	130	0	2	610,619
166	625	628	763	16936887	 In	d bX the HolX See.	e93c5dc37a37a9c2fc491982c8bcd8049c58e90a183245169e034782d6bd32a1	112	1	2	610,619
167	628	632	279	6697793	 the	X the HolX See. In	593e5dc76a37a9827cd203a2cc989824e45ded4bda124d169d04c6e18ebc73a1	111	1	2	610,619
168	632	637	6460	7620633	 East	e HolX See. In the	5d76dd977ab1b9ca78e217aada9038aee47de94a50314d27dca08788a92c71b0	132	0	1	619
169	637	638	11	16974380	,	X See. In the East	1b5fc195620770cc40c266ee08d8398fe47d204c9409540fa0e49ca8a02e78b0	138	0	1	619
170	638	642	813	7622724	 his	 See. In the East,	3a5fc195740674ce42c226ce68c9698fc47f2474d432440fa9e498aa81a678e0	124	1	0	
171	642	645	312	16934615	 re	. In the East, his	3a1bc39a750678c462992a5828c8a84d4c7a244c8547540fade419a801cf3ae1	131	0	0	
172	645	646	55	16974424	X	n the East, his re	3a19c11ad506bcc052992a784848b24d0c3e244cb5425687a96495a919e91ae1	126	1	0	
173	646	653	23539	6436682	utation	 the East, his reX	3e1dd11ad756b4a073992a5c6848e0450c332448a5407687a96495aa59f91ae1	120	1	1	645
174	653	660	9041	7558485	 spread	st, his reXutation	3cbd395aa0f69c604b046871510a9654a46445499010658329c6894d48797bd0	118	1	1	645
175	660	668	1555	7556430	 through	 reXutation spread	7d8ce1b589fe6c50c5424c2a3008c7d486fcc95f80b6451a28d2c80546507d4c	133	0	1	645
176	668	672	279	6697793	 the	ion spread through	310be1952d5b041415e94d36729024d4063f6ade642a14020e1ffb810f72076d	127	1	0	
